,province,date
728,Gyeonggi-do_Rdate,14
729,Gyeonggi-do_Rdate,27
730,Gyeonggi-do_Rdate,18
731,Gyeonggi-do_Rdate,25
732,Gyeonggi-do_Rdate,5
733,Gyeonggi-do_Rdate,14
734,Gyeonggi-do_Rdate,19
735,Gyeonggi-do_Rdate,26
736,Gyeonggi-do_Rdate,15
737,Gyeonggi-do_Rdate,31
738,Gyeonggi-do_Rdate,25
739,Gyeonggi-do_Rdate,8
740,Gyeonggi-do_Rdate,22
741,Gyeonggi-do_Rdate,18
742,Gyeonggi-do_Rdate,21
743,Gyeonggi-do_Rdate,27
744,Gyeonggi-do_Rdate,18
745,Gyeonggi-do_Rdate,11
746,Gyeonggi-do_Rdate,20
747,Gyeonggi-do_Rdate,8
748,Gyeonggi-do_Rdate,15
749,Gyeonggi-do_Rdate,18
750,Gyeonggi-do_Rdate,26
751,Gyeonggi-do_Rdate,7
752,Gyeonggi-do_Rdate,8
753,Gyeonggi-do_Rdate,1
754,Gyeonggi-do_Rdate,20
755,Gyeonggi-do_Rdate,15
756,Gyeonggi-do_Rdate,14
757,Gyeongsangbuk-do_Cdate,3
758,Gyeongsangbuk-do_Cdate,3
759,Gyeongsangbuk-do_Cdate,7
760,Gyeongsangbuk-do_Cdate,6
761,Gyeongsangbuk-do_Cdate,3
762,Gyeongsangbuk-do_Cdate,8
763,Gyeongsangbuk-do_Cdate,7
764,Gyeongsangbuk-do_Cdate,9
765,Gyeongsangbuk-do_Cdate,9
766,Gyeongsangbuk-do_Cdate,9
767,Gyeongsangbuk-do_Cdate,8
